6.700000000000000000e+01,1.060000000000000000e+02,1.030000000000000000e+02,1.120000000000000000e+02,1.130000000000000000e+02,3.383126854896545410e-01,1.861284971237182617e-01,1.771578490734100342e-01,1.655458807945251465e-01,1.142682060599327087e-01
4.940000000000000000e+02,6.700000000000000000e+01,1.030000000000000000e+02,1.060000000000000000e+02,5.000000000000000000e+02,3.392837047576904297e-01,1.689183115959167480e-01,1.119181141257286072e-01,9.654887765645980835e-02,2.443140745162963867e-02
6.700000000000000000e+01,1.030000000000000000e+02,1.060000000000000000e+02,5.040000000000000000e+02,1.120000000000000000e+02,4.970638751983642578e-01,2.900248169898986816e-01,2.797884047031402588e-01,2.001967728137969971e-01,1.191192418336868286e-01
6.700000000000000000e+01,1.060000000000000000e+02,1.030000000000000000e+02,5.040000000000000000e+02,1.140000000000000000e+02,2.696423828601837158e-01,1.824234426021575928e-01,1.773685365915298462e-01,1.008248329162597656e-01,9.243325889110565186e-02
4.940000000000000000e+02,4.290000000000000000e+02,5.040000000000000000e+02,2.940000000000000000e+02,5.140000000000000000e+02,1.060609072446823120e-01,9.760098159313201904e-02,7.993660867214202881e-02,7.792960107326507568e-02,7.264269888401031494e-02
4.940000000000000000e+02,6.700000000000000000e+01,1.030000000000000000e+02,1.060000000000000000e+02,5.040000000000000000e+02,9.736587405204772949e-01,3.239662852138280869e-03,2.221845090389251709e-03,2.022135304287075996e-03,1.372450613416731358e-03
4.940000000000000000e+02,4.060000000000000000e+02,5.000000000000000000e+02,5.140000000000000000e+02,3.980000000000000000e+02,3.506901562213897705e-01,4.362026974558830261e-02,3.479237481951713562e-02,3.403633087873458862e-02,3.298990800976753235e-02
6.700000000000000000e+01,1.060000000000000000e+02,1.030000000000000000e+02,5.040000000000000000e+02,1.070000000000000000e+02,4.107424616813659668e-01,2.404472380876541138e-01,2.306535989046096802e-01,1.546697318553924561e-01,6.896379590034484863e-02
6.700000000000000000e+01,4.940000000000000000e+02,1.030000000000000000e+02,1.060000000000000000e+02,1.070000000000000000e+02,3.071447014808654785e-01,2.380009442567825317e-01,2.363730669021606445e-01,2.285843789577484131e-01,9.456054866313934326e-02
4.940000000000000000e+02,6.700000000000000000e+01,5.040000000000000000e+02,1.060000000000000000e+02,1.030000000000000000e+02,2.465165108442306519e-01,1.893859058618545532e-01,1.265308558940887451e-01,1.179555281996726990e-01,1.102965027093887329e-01
6.700000000000000000e+01,1.060000000000000000e+02,1.030000000000000000e+02,1.120000000000000000e+02,1.130000000000000000e+02,5.347946882247924805e-01,4.486323297023773193e-01,4.343679845333099365e-01,4.151760935783386230e-01,3.666962385177612305e-01
4.940000000000000000e+02,6.700000000000000000e+01,1.030000000000000000e+02,1.060000000000000000e+02,1.070000000000000000e+02,4.077215194702148438e-01,2.676936388015747070e-01,2.478092014789581299e-01,2.410217225551605225e-01,9.900028258562088013e-02
