Hour,Month,WindSpeed,WindDir,Rain,Power
1,5,1.3,NW,0,32.9
22,2,0,E,0,25.6
10,2,2.2,NE,0,2.1
13,2,2.2,SE,0,31.2
1,3,3.6,E,0,105.4
23,10,3.1,NNE,0,84.1
11,3,2.7,SW,0,78.6
15,3,0,---,0,12.4
0,2,0.4,E,0,20.7
21,12,0,---,0,26.4
11,1,1.8,SSE,0,9.8
9,3,0.4,SSE,0,-0.1
23,3,0,---,0,20.1
3,10,0,ESE,0,61.7
21,6,0,---,0,46.5
6,10,1.3,NNW,0,30.3
12,9,1.8,SW,0,36.8
17,6,1.8,NNE,0,79.7
3,11,2.2,NW,0,65.3
4,10,9.4,NE,0,101.6
6,10,2.7,ENE,0,27.9
6,12,1.3,E,0,26.6
8,6,4,NW,0,77.3
3,5,3.6,WSW,0,108.7
13,1,0.9,SSE,0,2.9
12,1,1.3,ENE,0,1.3
18,2,1.8,SW,0,44
23,12,0,---,0,9
7,9,0,---,0,98.9
0,8,0.4,WSW,0,0
3,9,0.9,E,0,50.8
6,2,0.4,NE,0,60.7
19,4,1.3,SSE,0,18
12,9,0.9,E,0,6.5
6,2,0.9,SW,0,22.2
0,1,0.4,SSE,0,10.6
13,5,0.9,WSW,0,6.6
6,1,2.2,ENE,0,46.3
17,2,1.3,SW,0,31.4
18,2,0,---,0,45.9
13,10,0,---,0,80.8
4,1,3.6,NE,0,77.5
5,6,0.4,NE,0,1.1
6,7,0,WSW,0,43.5
0,12,1.3,ENE,0,26.4
18,5,0.4,S,0,6.8
20,4,1.8,ENE,0,21.8
12,8,0.4,NNE,0,0.9
2,2,0.4,WSW,0,7.7
19,7,2.2,NNE,0.4,37.6
19,2,4,SSE,0,94.9
8,3,0,SE,0,13.9
3,9,3.1,ENE,0,64.4
4,3,0.4,WSW,0,88
18,4,0.9,NNE,0,16.4
9,6,1.3,SSE,0,16.5
17,4,2.7,SW,0,63.8
23,10,0,---,0,22.1
7,6,0.9,NNE,0,20.1
23,5,0,S,0,29.3
3,5,0,SW,0,3.2
16,3,0,---,0,38.5
22,1,0.4,E,0,6.1
12,6,0,---,0,0.3
9,12,0.9,NE,0,63.9
10,10,2.7,NNW,0,19.1
11,4,1.3,SE,0,24.8
3,5,0.4,SSE,0,14.1
4,10,0,NNE,0,-0.3
20,5,2.7,W,0,100.2
11,8,0.9,SSE,0,-0.3
22,4,0.9,S,0,62.8
15,11,2.7,SW,0,83.7
19,1,2.2,SSE,0,41.7
1,5,2.7,ENE,0,49.3
7,8,1.3,WSW,0,108.4
13,6,1.3,NW,0,1.3
3,6,0.4,SE,0,14.4
14,5,1.3,WSW,0,12.4
1,8,2.7,ENE,0,40.1
15,3,1.3,SW,0,20.4
22,5,0,WSW,0,3.8
1,6,0,ENE,0,9.7
0,5,2.2,WSW,0,92.4
2,7,3.1,N,0,87.3
15,5,1.3,SSE,0,1
5,2,0,---,0,87.5
3,8,3.6,NNW,0,92.6
12,2,4,SW,0,99.8
20,7,2.7,W,0,79
23,1,1.3,E,0,44.5
17,1,2.2,SSE,0,59.5
8,10,2.7,NE,0,62.2
8,7,1.3,E,0,35.7
17,3,1.3,SW,0,20.9
3,8,1.8,WSW,0,106.7
23,1,1.3,ENE,0,14
14,1,1.3,WNW,0,3.1
13,4,3.1,W,0,96.5
3,3,0,---,0,34.7
23,5,1.3,NNW,0,15
15,8,1.8,WSW,0,74.1
8,10,4.5,NW,0,56.4
7,11,0.4,ENE,0,-0.4
4,3,1.3,NNW,0,27.1
5,1,0,SE,0,32.2
6,4,3.6,NNE,0,91.8
16,6,1.8,NW,0,50.8
3,2,3.1,E,0,96
10,1,1.3,SW,0,72.5
10,2,0,---,0,-0.8
